skill,family,category
land development,t,
latex,t,
lead optimization,t,
leadership,nt,mn
leadership development,nt,hr
learning,nt,hr
learning management,nt,hr
learning management systems,nt,hr
legal research,t,
legal writing,nt,ot
lift station design,t,
linear regression,t,
linux,t,
logging,t,
logistic regression,t,
lucene,t,
machine learning,t,
macroeconomics,t,
management,nt,mn
management consulting,nt,mn
mandarin,nt,ot
mapreduce,t,
market analysis,nt,mn
market opportunity analysis,nt,mn
market research,t,
marketing,nt,mn
marketing communications,nt,co
marketing management,nt,mn
marketing research,t,
marketing strategy,nt,mn
marketo,t,
maschinelles lernen,t,
mathematica,t,
mathematical analysis,t,
mathematical modeling,t,
mathematical modelling and simulation,t,
mathematical programming,t,
mathematics,t,
matlab,t,
mentoring,nt,hr
mergers & acquisitions,nt,mn
metadata management,t,
metadata standards,t,
micosoft office suite,t,
microcontrollers,t,
microsoft excel,t,
microsoft office,t,
microsoft sql server,t,
military,nt,ot
minitab,t,
mobile applications,t,
mobile internet,t,
mobile marketing,t,
modeling,t,
monetization,t,
mongodb,t,
motivational speaking,nt,co
mpp,t,
multi agent systems,t,
multithreading,t,
multivariate statistics,t,
multivariate testing,t,
music,nt,ot
mysql,t,
national security,t,
natural language processing,t,
navy,nt,ot
neo4j,t,
network architecture,t,
network intelligence,t,
network security,t,
networking,t,
neural networks,t,
new business development,nt,mn
new media,t,
new web technologies,t,
nginx,t,
nlp,t,
nosql,t,
numerical analysis,t,
object oriented design,t,
objective-c,t,
olap,t,
omniture,t,
online advertising,t,
online marketing,t,
online publishing,t,
online training,t,
ontology,nt,ot
open source,t,
open source data science tools,t,
opencv,t,
opengl,t,
optimization,t,
oracle,t,
oracle rac,t,
organizational design,t,
organizational development,nt,mn
organizational effectiveness,nt,mn
organizational learning,nt,hr
other scientific disciplines,nt,ot
owning up to the title,nt,ot
paper craft,t,
parallel computing,t,
pattern recognition,t,
pattern recognition%2f,t,
pcb design,t,
people management,nt,hr
people-oriented,nt,hr
peoplesoft,t,
peoplesoft crm,t,
performance improvement,nt,mn
performance management,nt,mn
performance measurement,t,
performance tuning,t,
perl,t,
personnel management,nt,hr
php,t,
physical sciences,t,
physics,t,
pki,t,
pl/sql,t,
play framework,t,
poetry,nt,ot
portfolio management,nt,mn
positioning,nt,mn
ppc,t,
predictive analytics,t,
predictive modeling,t,
pre-sales,nt,mn
prescriptive analytics,t,
presentations,nt,co
probabilistic modelling,t,
probabilistic models,t,
problem solving,nt,ot
process improvement,nt,mn
product development,t,
product evangelism,nt,co
product management,nt,mn
product marketing,nt,mn
produktentwicklung,t,
professional services,t,
program management,nt,mn
programmatic media buying,t,
programming,t,
project management,nt,mn
project planning,t,
proposal writing,nt,mn
proprietary trading,nt,ot
prozessverbesserung,t,
public speaking,nt,co
published author,nt,ot
publishing,nt,ot
python,t,
python coding,t,
quantitative analysis,t,
quantitative analytics,t,
quantitative data,t,
quantitative finance,t,
quantitative investing,t,
r,t,
r language,t,
r programming,t,
real-time bidding,t,
recommender systems,t,
recruiting,nt,hr
regression,t,
regression analysis,t,
reporting systems,t,
requirements analysis,t,
research,t,
rest,t,
reusable code,t,
risk management,nt,mn
robotics,t,
saas,t,
sales advisor,nt,mn
sales management,nt,mn
salesforce.com,t,
sap,t,
sap erp,t,
sap implementation,t,
sas,t,
sas programming,t,
scala,t,
scalability,t,
science,t,
science communication,nt,co
science education,nt,hr
scientific computing,t,
scientific training,nt,hr
scikit-learn,t,
scrum,t,
sdlc,t,
search,t,
search engine technology,t,
securities regulation,t,
security,t,
security clearance,t,
segmentation,nt,mn
sem,t,
semantic technologies,t,
semantic web,t,
semiconductors,t,
seo,t,
sewer,t,
siebel,t,
siebel crm,t,
signal processing,t,
simulation,t,
simulationen,t,
simulations,t,
six sigma,t,
slightly more advanced math concepts,t,
soa,t,
social business,t,
social crm,t,
social media,t,
social media marketing,t,
social media measurement,t,
social network analysis,t,
social networking,t,
social networking sites,t,
software architecture,t,
software as a service (saas),t,
software consulting,t,
software deployment,t,
software design,t,
software development,t,
software documentation,t,
software engineering,t,
softwareentwicklung,t,
solution architecture,t,
spark,t,
spatial analysis,t,
